,property_price
42281,77000.0
63945,149000.0
420757,249000.0
93305,161700.0
268529,62000.0
111071,143000.0
293047,75000.0
25810,128900.0
39721,49900.0
355423,125000.0
243089,220000.0
76746,170000.0
453829,73000.0
120384,209000.0
223772,117000.0
24878,160000.0
379668,790000.0
428958,54000.0
23362,220000.0
197757,189000.0
120106,63000.0
101096,63000.0
26247,149000.0
93313,230000.0
275084,89000.0
107685,132000.0
28830,80000.0
447572,262615.0
427129,180000.0
41922,299000.0
306859,90000.0
399820,122000.0
59769,130000.0
118368,330000.0
275566,120000.0
38316,355000.0
142193,198000.0
260187,154179.0
75594,165000.0
76074,350000.0
63968,65000.0
136418,69000.0
50829,135000.0
56653,945000.0
183384,110000.0
459586,670000.0
441153,215000.0
382325,185000.0
326431,45000.0
135945,89000.0
368106,169000.0
322994,199000.0
128686,95000.0
252912,200000.0
422727,77000.0
446254,298000.0
268323,165000.0
142852,300000.0
343910,110000.0
299690,90000.0
92786,190000.0
186429,160000.0
399410,250000.0
330885,158000.0
6714,320000.0
370357,85000.0
355027,549000.0
454882,95000.0
452799,170000.0
430640,130000.0
74619,53460.0
366853,85000.0
202795,88000.0
58433,280000.0
194371,320000.0
103792,139000.0
4131,112000.0
434679,167000.0
45032,280000.0
134816,71000.0
384668,80156.0
20940,730000.0
33572,240000.0
15835,160000.0
442105,1650000.0
99362,280000.0
105109,77000.0
197597,370000.0
435838,183000.0
273782,96000.0
306203,260000.0
385631,85000.0
438533,119700.0
260836,99900.0
154883,209000.0
400266,150000.0
9264,116600.0
436824,67200.0
439420,88000.0
242441,134900.0
210210,98000.0
38641,109500.0
93282,89000.0
287091,140000.0
243955,149000.0
21490,318000.0
390076,68000.0
270209,48000.0
428590,106500.0
453087,170000.0
175944,110000.0
79358,144900.0
277149,227000.0
230830,260000.0
143807,99000.0
370098,100000.0
186088,65900.0
172550,45000.0
198819,145713.0
409952,78500.0
332789,107000.0
405729,600000.0
372603,91900.0
202273,155000.0
355371,100000.0
66629,690000.0
20622,99000.0
195609,425000.0
49468,105000.0
174317,79000.0
430311,73000.0
65928,189000.0
98159,165000.0
263779,120000.0
147654,112000.0
326785,75000.0
432645,99000.0
147957,210000.0
169748,189000.0
228914,99000.0
293423,272900.0
139564,68000.0
375532,980000.0
302985,94200.0
26340,600000.0
169713,140000.0
40889,168000.0
438615,169000.0
181605,79000.0
25807,182000.0
340065,182000.0
121969,95000.0
31331,105000.0
303421,109000.0
409710,360000.0
432080,72000.0
257950,130000.0
108868,67000.0
288288,520000.0
350934,83000.0
247238,180000.0
130414,170000.0
398038,475000.0
440584,121000.0
447318,128843.0
152909,450000.0
295953,370000.0
372944,75000.0
75171,147000.0
159134,135000.0
59780,155000.0
205324,95000.0
383272,180000.0
250622,72900.0
60079,140000.0
187748,140000.0
203214,105000.0
58001,256600.0
261614,155000.0
35459,350000.0
254154,75000.0
321112,5000000.0
308961,195000.0
160178,79000.0
135259,149000.0
387357,525000.0
303352,128000.0
129853,145000.0
311280,140000.0
152253,75000.0
416304,170000.0
156386,55000.0
105099,65000.0
358750,82000.0
105098,299000.0
74957,129900.0
451299,145000.0
182721,134136.0
263983,115000.0
19883,120000.0
334676,405000.0
308071,105000.0
273817,154900.0
160456,126000.0
121622,104000.0
44026,380000.0
67895,63000.0
320907,277000.0
44458,185000.0
295969,52000.0
399015,65000.0
298551,514000.0
72640,198000.0
282766,119000.0
178717,350000.0
295828,68000.0
338421,310000.0
35357,238000.0
172536,210000.0
175869,118000.0
26162,97000.0
350951,225000.0
185853,200000.0
224296,79000.0
310177,490000.0
304763,109000.0
300629,180000.0
408036,77000.0
75051,48800.0
379774,195000.0
355941,95000.0
95235,85000.0
213440,489000.0
67603,76000.0
358725,85000.0
445574,110000.0
301221,98000.0
61532,180000.0
192971,133000.0
406240,135000.0
450277,174900.0
101173,193000.0
214495,120000.0
241506,399000.0
232885,125000.0
441917,45000.0
239860,148000.0
342547,130000.0
375321,99000.0
237299,135000.0
211421,105000.0
247271,59900.0
231930,462000.0
251230,87000.0
349078,103000.0
99372,119000.0
384306,109000.0
375934,112500.0
195156,73000.0
31326,258000.0
433824,430000.0
445446,149900.0
318178,69000.0
19487,59900.0
84074,400000.0
105564,79600.0
443050,160000.0
172113,298000.0
422371,147000.0
55174,290000.0
123296,1800000.0
361460,150000.0
199655,159000.0
144607,137000.0
356880,110000.0
215887,125000.0
331650,76000.0
206420,370000.0
158371,3500000.0
251696,220000.0
17262,135000.0
262004,129000.0
171533,128900.0
160100,190000.0
214355,71497.0
12113,47000.0
114927,540000.0
459302,400000.0
256272,115000.0
190221,105000.0
63709,245000.0
443065,318000.0
436461,118000.0
363453,175000.0
7351,63000.0
312666,250000.0
403188,65000.0
413993,390000.0
244011,145000.0
240380,107000.0
212490,1300000.0
252789,125000.0
414892,115000.0
321185,498000.0
178279,198000.0
222639,275000.0
260120,260000.0
71527,225000.0
196545,130000.0
65406,124000.0
450142,105000.0
225030,160000.0
339903,470000.0
125715,192000.0
341460,230000.0
379512,575000.0
12550,64491.0
379861,43459.0
208262,280000.0
135010,700000.0
447640,199000.0
128972,610000.0
428639,119000.0
208597,230000.0
268427,78000.0
167622,89900.0
382414,125000.0
366156,124900.0
450433,410000.0
235339,117616.0
311682,89600.0
9968,125000.0
383695,119900.0
303365,91000.0
414854,87000.0
82200,94900.0
279681,250000.0
400189,160000.0
171018,380000.0
257424,260000.0
281305,119000.0
451311,109000.0
128719,59000.0
111533,69000.0
100164,179500.0
144758,1900000.0
310609,205340.0
218556,1800000.0
265180,78000.0
281903,69000.0
393408,260000.0
452731,85990.0
32778,225000.0
85982,170000.0
428881,75000.0
266825,74000.0
403591,145000.0
238605,79500.0
423391,91000.0
6664,138000.0
459265,890000.0
139160,134000.0
70472,62000.0
404475,55000.0
435958,699000.0
6357,119250.0
300752,159000.0
252978,300000.0
220274,110000.0
392434,75000.0
457798,400000.0
347814,115000.0
397425,329000.0
22770,430000.0
163144,96000.0
291956,220000.0
81878,270000.0
44444,260000.0
330013,72000.0
228982,98000.0
143211,245000.0
259292,190000.0
252825,79000.0
40678,225000.0
286081,195000.0
248521,76000.0
239961,135000.0
450182,99000.0
272909,126000.0
102755,390000.0
320492,110000.0
8801,175000.0
270172,84000.0
412722,117000.0
261095,390000.0
268774,215000.0
203159,95000.0
291029,104000.0
21156,179000.0
426235,220000.0
277180,105000.0
203787,70000.0
42608,480000.0
23243,85000.0
197294,130000.0
243118,448000.0
33233,65000.0
324487,220000.0
410060,139000.0
304865,165000.0
388658,93000.0
238525,217182.0
428153,145000.0
318135,69900.0
430713,76900.0
244718,145000.0
134127,245000.0
170181,199900.0
453011,69000.0
187722,360000.0
305006,157000.0
14100,145000.0
300962,140000.0
73117,299900.0
69583,149000.0
316831,98000.0
12709,320000.0
284116,115000.0
436592,482000.0
209188,225000.0
370805,110000.0
371533,160000.0
230554,250000.0
62359,73000.0
334301,116000.0
12985,345000.0
66615,234980.0
66614,398000.0
211581,78000.0
92101,189000.0
54995,154900.0
452251,120000.0
41680,360000.0
10132,120000.0
252001,334900.0
444063,240000.0
21404,120000.0
28920,165000.0
36881,465000.0
169919,130000.0
147629,1100000.0
192999,60000.0
143134,63900.0
352853,109000.0
290953,194500.0
393217,85000.0
188166,149000.0
354415,135000.0
102131,320000.0
143673,69900.0
226872,110000.0
238133,72700.0
67373,370000.0
79404,69000.0
226594,219000.0
211081,760000.0
199979,168000.0
277513,128000.0
123435,115000.0
54005,91000.0
27866,265000.0
227119,145800.0
328462,99900.0
269030,210000.0
113792,310000.0
28887,165000.0
41550,2500000.0
251387,265000.0
433778,2950000.0
32204,55000.0
339736,145000.0
287134,990000.0
221114,119500.0
279080,220000.0
354029,187000.0
279759,199000.0
409246,162236.0
131920,93900.0
310132,54000.0
168580,120485.0
339486,115000.0
18429,292000.0
70695,69900.0
9186,68900.0
195154,130000.0
3901,148000.0
358564,330000.0
298127,56000.0
188163,107984.0
334732,124000.0
452211,79000.0
77673,169000.0
264604,950000.0
397606,695000.0
323112,135000.0
397520,110000.0
224377,77000.0
51862,165000.0
430740,88000.0
188132,90768.0
200623,870000.0
152620,218000.0
167218,195000.0
7948,130725.0
445313,180000.0
405045,140000.0
333145,89000.0
76905,135000.0
226810,200000.0
269899,49000.0
75416,145000.0
142215,175000.0
257606,520000.0
201062,115000.0
170460,590000.0
214663,80000.0
337025,315000.0
3604,75000.0
443894,105000.0
239767,58000.0
222867,175000.0
401328,480000.0
141033,230000.0
399534,58000.0
243559,125000.0
133820,153000.0
251726,99000.0
310716,109000.0
123140,37000.0
365403,89000.0
247072,248790.0
225096,137000.0
101347,112000.0
133270,290000.0
241475,180000.0
319245,64000.0
194507,86413.0
252548,84500.0
4827,370000.0
190027,150000.0
66752,93847.0
129669,70387.0
257138,725000.0
252546,105000.0
228245,164900.0
17906,110000.0
67354,259000.0
432071,108000.0
136485,145000.0
247563,135900.0
157004,196000.0
62388,79000.0
443730,115000.0
75732,220000.0
270723,285000.0
404771,82000.0
206449,85000.0
345939,139000.0
241500,65000.0
382830,275000.0
26330,390000.0
224247,90000.0
145849,1390000.0
131938,490000.0
259286,245000.0
4969,319000.0
226846,69000.0
100140,69500.0
127703,174000.0
375556,95000.0
222127,140000.0
437999,168000.0
436671,93900.0
290840,112500.0
398836,98000.0
430907,110000.0
352913,180000.0
188360,84900.0
81819,260000.0
189624,65000.0
371269,68000.0
368952,75000.0
12153,116000.0
427544,209900.0
422415,125000.0
233040,245000.0
377699,250000.0
289705,450000.0
383295,130000.0
371322,127000.0
815,170000.0
335911,69000.0
36451,147000.0
323001,1490000.0
410043,187000.0
306807,198000.0
289417,210000.0
397758,95000.0
306804,90000.0
43548,175000.0
285195,286000.0
391103,160000.0
273572,85800.0
329934,1200000.0
47664,98500.0
9898,600000.0
268281,93000.0
64067,119900.0
40878,148000.0
325835,199000.0
385419,900000.0
252567,265000.0
55,185000.0
315611,248000.0
377488,2500000.0
115341,380000.0
257175,319000.0
180733,142000.0
35225,325000.0
399882,238000.0
391897,495000.0
35796,139000.0
183486,115000.0
327355,144000.0
129052,125000.0
93479,129900.0
7693,900000.0
321972,110000.0
162003,79000.0
454964,72000.0
73416,329900.0
287730,145000.0
141313,239000.0
397084,225000.0
47753,58800.0
343648,54000.0
260289,240000.0
222621,170000.0
244557,238000.0
336750,270000.0
73422,140000.0
281819,165000.0
266197,209000.0
72657,85000.0
217965,185000.0
420417,200000.0
353365,110000.0
67348,44900.0
100125,125000.0
282760,89000.0
59307,195000.0
405712,390000.0
301128,125000.0
888,160000.0
218400,79000.0
428879,64500.0
196733,95000.0
203793,160000.0
186416,59000.0
379987,125000.0
336456,85000.0
80636,59000.0
261951,119900.0
221124,168000.0
226387,80000.0
423411,148000.0
150683,190000.0
73618,630000.0
70619,70000.0
191622,258000.0
454523,199000.0
251386,139000.0
45524,240000.0
426228,250000.0
166106,1200000.0
448026,560000.0
150782,88000.0
375377,1200000.0
134308,495000.0
221436,470000.0
423724,1590000.0
440130,95000.0
17777,90000.0
164233,320000.0
403241,149000.0
335953,220000.0
399867,215000.0
107748,54500.0
180459,89000.0
56593,125000.0
323898,110000.0
124393,106500.0
424762,79000.0
224299,116000.0
73795,85000.0
28868,40000.0
382423,149000.0
419663,84900.0
247030,180000.0
445471,190000.0
324051,59000.0
250776,121500.0
92903,115000.0
459621,199000.0
12353,190000.0
203013,279500.0
398698,220000.0
54609,2100000.0
21385,88000.0
267090,129000.0
213654,139900.0
311816,164000.0
279811,240000.0
124388,360000.0
63740,119000.0
108917,105000.0
31025,67900.0
44449,209000.0
257206,498000.0
447997,245000.0
82484,173000.0
183917,390000.0
364986,126000.0
428401,110000.0
352943,142000.0
113805,174900.0
312715,189000.0
187671,320000.0
65391,64500.0
329594,339000.0
408073,95526.0
430624,85000.0
208260,200000.0
117417,98000.0
89998,160000.0
199046,235000.0
169925,240000.0
411403,189000.0
318901,160000.0
85388,200000.0
54074,47000.0
359160,127000.0
330834,439000.0
17242,295000.0
220732,79900.0
377666,147000.0
358830,220000.0
358948,147500.0
7550,85000.0
401792,74900.0
237288,269000.0
62242,165000.0
94182,359900.0
277190,119000.0
312468,69000.0
44043,129999.0
100248,245000.0
361853,140000.0
168136,159900.0
374037,165000.0
34637,125000.0
411544,119100.0
92874,95000.0
135558,1050000.0
114211,65000.0
133675,260000.0
103736,134000.0
297114,128000.0
118928,59000.0
92405,260000.0
428432,188000.0
72590,168000.0
457699,75180.0
56900,60000.0
344755,58000.0
209456,128000.0
346974,75000.0
392900,49500.0
204171,385000.0
261214,125000.0
3543,72000.0
3044,490000.0
427107,220000.0
386570,159000.0
9986,97200.0
296618,130000.0
408091,135000.0
213707,120000.0
168738,120000.0
74521,155000.0
167719,70000.0
288914,95441.0
89102,199900.0
53889,210000.0
9662,175000.0
165056,630000.0
89170,250000.0
114600,65000.0
103903,89000.0
415525,78000.0
257919,189000.0
33494,750000.0
285819,225000.0
196393,395000.0
384316,190000.0
273505,65000.0
32993,70000.0
238832,395000.0
85365,92000.0
117424,89000.0
291762,560000.0
53353,109900.0
169903,850000.0
70725,105000.0
413980,78000.0
389835,245000.0
356925,210000.0
242537,114900.0
72323,299944.0
257262,200000.0
391719,195000.0
57465,120000.0
412458,74000.0
260629,930000.0
361841,624206.0
406244,1100000.0
372981,180000.0
277714,150000.0
211699,235000.0
221532,360000.0
443356,135000.0
415882,198000.0
57794,68000.0
366573,260000.0
459422,420000.0
411196,495000.0
258360,1580000.0
133607,240000.0
428683,385000.0
104659,750000.0
362416,80000.0
327822,99000.0
196648,66000.0
75653,315000.0
426220,1050000.0
98275,118000.0
374070,65000.0
187816,78000.0
100792,168000.0
339863,280000.0
221569,219000.0
28733,74000.0
74506,129900.0
128713,47000.0
266776,499000.0
89659,49500.0
285823,131300.0
178266,155000.0
411502,400000.0
204373,95000.0
424770,55000.0
115420,138000.0
336476,340000.0
336741,119000.0
319316,115000.0
361777,275000.0
33310,128000.0
71538,70000.0
69465,79000.0
25897,265000.0
452300,335000.0
201202,49000.0
434375,260000.0
401563,162000.0
95565,128000.0
193089,680000.0
165092,115000.0
84164,210000.0
99278,120000.0
312275,250000.0
62185,46900.0
454829,199000.0
431385,198000.0
53512,120000.0
67358,67500.0
15335,98000.0
232837,116000.0
393524,129900.0
42268,210000.0
381574,495000.0
248587,139900.0
316993,126000.0
350845,349000.0
277759,28000.0
415528,108000.0
341998,60000.0
82563,127000.0
53434,148500.0
341776,71000.0
217629,197000.0
274420,89000.0
200763,360000.0
402917,66500.0
291599,129570.0
17080,122500.0
406806,100000.0
126393,320000.0
163051,69000.0
6035,78000.0
139737,650000.0
398850,150000.0
435961,280000.0
314802,114000.0
65584,125001.0
404840,105000.0
57033,259000.0
154973,680000.0
1239,189645.0
9969,141400.0
108429,240000.0
242219,145000.0
298037,180000.0
287081,140000.0
9459,112243.0
324038,68000.0
111185,246000.0
258195,55000.0
118064,99000.0
347270,79000.0
381416,95000.0
261973,140000.0
28765,380000.0
67185,426000.0
6361,180400.0
308775,149000.0
51929,139500.0
221129,250000.0
115566,199000.0
293735,149000.0
131303,98000.0
53687,245000.0
375546,127500.0
72706,116876.0
428676,249000.0
23217,119849.0
128967,550000.0
286942,114500.0
419342,92000.0
129189,119990.0
335965,320000.0
361897,659900.0
41976,145000.0
358885,125000.0
434465,330000.0
233165,290000.0
376939,42000.0
174151,163000.0
329081,205000.0
351231,180000.0
373852,110000.0
367609,138000.0
366192,1000000.0
63658,135000.0
392520,90000.0
404773,120000.0
369056,135000.0
18160,307000.0
341466,124900.0
386917,220000.0
277718,93000.0
430962,148000.0
15008,395000.0
135953,110000.0
401601,620000.0
455367,134444.0
379408,155000.0
